user_id,feature_used,usage_timestamp,usage_date
user_407,True,2023-02-11,2023-02-11
user_619,True,2023-01-21,2023-01-21
user_336,True,2023-02-11,2023-02-11
user_815,True,2023-04-23,2023-04-23
user_117,True,2023-04-15,2023-04-15
user_124,True,2023-07-11,2023-07-11
user_399,True,2023-01-17,2023-01-17
user_793,True,2023-04-30,2023-04-30
user_804,True,2023-05-09,2023-05-09
user_715,True,2023-05-10,2023-05-10
user_51,True,2023-03-01,2023-03-01
user_783,True,2023-02-17,2023-02-17
user_324,True,2023-01-29,2023-01-29
user_789,True,2023-04-07,2023-04-07
user_141,True,2023-01-10,2023-01-10
user_470,True,2023-08-30,2023-08-30
user_787,True,2023-11-10,2023-11-10
user_802,True,2023-08-20,2023-08-20
user_334,True,2023-10-04,2023-10-04
user_893,True,2023-10-11,2023-10-11
user_964,True,2023-07-22,2023-07-22
user_373,True,2023-09-04,2023-09-04
user_564,True,2023-10-17,2023-10-17
user_494,True,2023-09-21,2023-09-21
user_539,True,2023-08-02,2023-08-02
user_669,True,2023-07-19,2023-07-19
user_751,True,2023-03-20,2023-03-20
user_156,True,2023-12-09,2023-12-09
user_291,True,2023-12-10,2023-12-10
user_648,True,2023-06-22,2023-06-22
user_144,True,2023-03-10,2023-03-10
user_106,True,2023-03-28,2023-03-28
user_420,True,2023-04-11,2023-04-11
user_670,True,2023-01-08,2023-01-08
user_658,True,2023-11-29,2023-11-29
user_2,True,2023-07-19,2023-07-19
user_945,True,2023-03-28,2023-03-28
user_589,True,2023-02-12,2023-02-12
user_644,True,2023-04-19,2023-04-19
user_90,True,2023-06-01,2023-06-01
user_345,True,2023-01-17,2023-01-17
user_350,True,2023-05-13,2023-05-13
user_459,True,2023-05-28,2023-05-28
user_263,True,2023-10-04,2023-10-04
user_351,True,2023-08-20,2023-08-20
user_108,True,2023-11-10,2023-11-10
user_586,True,2023-08-16,2023-08-16
user_39,True,2023-05-19,2023-05-19
user_909,True,2023-07-30,2023-07-30
user_159,True,2023-01-28,2023-01-28
user_583,True,2023-02-20,2023-02-20
user_959,True,2023-09-18,2023-09-18
user_312,True,2023-09-18,2023-09-18
user_241,True,2023-12-16,2023-12-16
user_938,True,2023-12-18,2023-12-18
user_445,True,2023-01-08,2023-01-08
user_298,True,2023-11-16,2023-11-16
user_952,True,2023-05-18,2023-05-18
user_36,True,2023-02-07,2023-02-07
user_84,True,2023-04-21,2023-04-21
user_452,True,2023-08-08,2023-08-08
user_886,True,2023-12-03,2023-12-03
user_775,True,2023-08-11,2023-08-11
user_822,True,2023-05-16,2023-05-16
user_385,True,2023-09-13,2023-09-13
user_172,True,2023-12-26,2023-12-26
user_376,True,2023-11-25,2023-11-25
user_685,True,2023-02-18,2023-02-18
user_362,True,2023-10-19,2023-10-19
user_559,True,2023-11-20,2023-11-20
user_891,True,2023-03-19,2023-03-19
user_141,True,2023-04-15,2023-04-15
user_887,True,2023-06-18,2023-06-18
user_918,True,2023-08-05,2023-08-05
user_118,True,2023-04-29,2023-04-29
user_277,True,2023-07-09,2023-07-09
user_726,True,2023-09-12,2023-09-12
user_220,True,2023-09-23,2023-09-23
user_905,True,2023-05-29,2023-05-29
user_26,True,2023-06-13,2023-06-13
user_521,True,2023-05-20,2023-05-20
user_783,True,2023-12-13,2023-12-13
user_10,True,2023-09-15,2023-09-15
user_984,True,2023-09-26,2023-09-26
user_378,True,2023-06-30,2023-06-30
user_633,True,2023-06-09,2023-06-09
user_637,True,2023-12-17,2023-12-17
user_682,True,2023-10-15,2023-10-15
user_584,True,2023-10-15,2023-10-15
user_152,True,2023-08-14,2023-08-14
user_720,True,2023-01-11,2023-01-11
user_49,True,2023-01-10,2023-01-10
user_154,True,2023-09-28,2023-09-28
user_859,True,2023-09-30,2023-09-30
user_293,True,2023-07-02,2023-07-02
user_580,True,2023-06-02,2023-06-02
user_50,True,2023-11-11,2023-11-11
user_664,True,2023-11-30,2023-11-30
user_531,True,2023-05-04,2023-05-04
user_612,True,2023-04-24,2023-04-24
user_60,True,2023-10-05,2023-10-05
user_167,True,2023-08-01,2023-08-01
user_202,True,2023-06-21,2023-06-21
user_857,True,2023-10-15,2023-10-15
user_146,True,2023-06-23,2023-06-23
user_915,True,2023-04-23,2023-04-23
user_676,True,2023-05-02,2023-05-02
user_970,True,2023-02-01,2023-02-01
user_993,True,2023-08-10,2023-08-10
user_439,True,2023-04-29,2023-04-29
user_242,True,2023-02-08,2023-02-08
user_581,True,2023-09-25,2023-09-25
user_687,True,2023-08-21,2023-08-21
user_561,True,2023-01-18,2023-01-18
user_483,True,2023-05-29,2023-05-29
user_108,True,2023-05-29,2023-05-29
user_226,True,2023-05-06,2023-05-06
user_673,True,2023-10-29,2023-10-29
user_631,True,2023-12-26,2023-12-26
user_661,True,2023-08-26,2023-08-26
user_977,True,2023-05-15,2023-05-15
user_662,True,2023-05-31,2023-05-31
user_432,True,2023-08-24,2023-08-24
user_805,True,2023-08-12,2023-08-12
user_655,True,2023-07-22,2023-07-22
user_419,True,2023-09-13,2023-09-13
user_988,True,2023-03-27,2023-03-27
user_455,True,2023-05-30,2023-05-30
user_160,True,2023-08-23,2023-08-23
user_523,True,2023-12-11,2023-12-11
user_650,True,2023-01-22,2023-01-22
user_969,True,2023-12-14,2023-12-14
user_590,True,2023-10-12,2023-10-12
user_77,True,2023-09-26,2023-09-26
user_509,True,2023-09-15,2023-09-15
user_441,True,2023-01-29,2023-01-29
user_254,True,2023-08-01,2023-08-01
user_921,True,2023-10-10,2023-10-10
user_770,True,2023-02-19,2023-02-19
user_320,True,2023-04-05,2023-04-05
user_803,True,2023-03-29,2023-03-29
user_263,True,2023-02-13,2023-02-13
user_597,True,2023-10-05,2023-10-05
user_658,True,2023-06-20,2023-06-20
user_835,True,2023-07-08,2023-07-08
user_554,True,2023-12-19,2023-12-19
user_374,True,2023-07-03,2023-07-03
user_637,True,2023-01-03,2023-01-03
user_167,True,2023-07-10,2023-07-10
user_937,True,2023-04-28,2023-04-28
user_753,True,2023-01-19,2023-01-19
user_459,True,2023-01-23,2023-01-23
user_999,True,2023-01-30,2023-01-30
user_280,True,2023-10-22,2023-10-22
user_700,True,2023-04-18,2023-04-18
user_302,True,2023-10-08,2023-10-08
user_531,True,2023-05-08,2023-05-08
user_580,True,2023-08-17,2023-08-17
user_218,True,2023-04-21,2023-04-21
user_102,True,2023-05-16,2023-05-16
user_554,True,2023-12-28,2023-12-28
user_288,True,2023-07-05,2023-07-05
user_167,True,2023-05-24,2023-05-24
user_621,True,2023-03-13,2023-03-13
user_36,True,2023-05-09,2023-05-09
user_744,True,2023-12-30,2023-12-30
user_741,True,2023-09-18,2023-09-18
user_353,True,2023-01-03,2023-01-03
user_676,True,2023-04-14,2023-04-14
user_899,True,2023-08-12,2023-08-12
user_73,True,2023-11-16,2023-11-16
user_648,True,2023-12-28,2023-12-28
user_353,True,2023-12-20,2023-12-20
user_891,True,2023-01-10,2023-01-10
user_70,True,2023-10-29,2023-10-29
user_425,True,2023-08-19,2023-08-19
user_999,True,2023-08-07,2023-08-07
user_708,True,2023-03-07,2023-03-07
user_781,True,2023-04-22,2023-04-22
user_561,True,2023-01-13,2023-01-13
user_828,True,2023-03-27,2023-03-27
user_642,True,2023-08-22,2023-08-22
user_956,True,2023-03-31,2023-03-31
user_517,True,2023-11-10,2023-11-10
user_428,True,2023-02-23,2023-02-23
user_539,True,2023-01-12,2023-01-12
user_160,True,2023-07-28,2023-07-28
user_149,True,2023-01-14,2023-01-14
user_776,True,2023-05-01,2023-05-01
user_230,True,2023-01-20,2023-01-20
user_712,True,2023-03-16,2023-03-16
user_562,True,2023-08-31,2023-08-31
user_67,True,2023-08-11,2023-08-11
user_812,True,2023-03-11,2023-03-11
user_381,True,2023-11-08,2023-11-08
user_58,True,2023-07-30,2023-07-30
